dataset,predictor,group,target_lof_sens,threshold,lof_sens,gof_sens,gap,ci_lo,ci_hi,n_lof,n_gof,n_distinct,sens_overshoot,usable
De Franco (novel),MetaRNN,supervised ensemble,50.0,0.9523699999999999,50.0,27.741935483870968,22.258064516129032,9.688742819266464,28.70967741935484,292,155,437,0.0,True
De Franco (novel),ClinPred,supervised ensemble,50.0,0.866575,50.0,29.03225806451613,20.96774193548387,11.290322580645162,29.354838709677423,292,155,403,0.0,True
De Franco (novel),AlphaMissense,structure + frequency,50.0,0.87923,50.0,33.5483870967742,16.451612903225804,7.41935483870968,24.23431285903667,292,155,380,0.0,True
ALL,PROVEAN,conservation only,50.0,0.774725,50.0,34.54545454545455,15.454545454545453,8.002221940071104,24.093511934992367,358,220,401,0.0,True
ALL,SIFT4G,conservation only,50.0,0.79402,56.424581005586596,30.0,26.424581005586596,18.4163280853225,33.95010157440325,358,220,149,6.424581005586596,False
ALL,LRT,conservation only,50.0,0.8433,66.75977653631286,76.81818181818181,-10.058405281868964,-17.431119857795842,-2.899822244794318,358,220,46,16.759776536312856,False
ALL,PrimateAI,population deep learning,50.0,0.849845,50.0,55.45454545454545,-5.454545454545457,-13.357034027425085,3.290312341289977,358,220,569,0.0,True
ALL,MPC,regional constraint,50.0,0.8789899999999999,50.0,48.18181818181818,1.8181818181818188,-6.543232605383446,10.281932453021826,358,220,499,0.0,True
ALL,REVEL,supervised ensemble,50.0,0.9789,50.0,33.18181818181819,16.818181818181817,10.454545454545455,24.824784154393097,358,220,288,0.0,True
ALL,VEST4,supervised ensemble,50.0,0.95256,50.5586592178771,34.090909090909086,16.46775012696801,9.545454545454547,25.0,358,220,249,0.5586592178770999,True
ALL,MetaRNN,supervised ensemble,50.0,0.95827,50.0,34.090909090909086,15.909090909090912,8.181818181818185,23.63636363636364,358,220,562,0.0,True
ALL,ClinPred,supervised ensemble,50.0,0.87178,50.0,31.818181818181817,18.181818181818183,10.909090909090907,25.27932960893855,358,220,499,0.0,True
ALL,AlphaMissense,structure + frequency,50.0,0.87905,50.0,29.545454545454547,20.454545454545453,12.727272727272727,27.27272727272727,358,220,479,0.0,True
Hopkins,PROVEAN,conservation only,40.0,0.85027,40.909090909090914,24.615384615384617,16.293706293706293,5.5011655011655005,28.555361305361302,66,65,117,0.9090909090909136,True
Hopkins,SIFT4G,conservation only,40.0,0.83351,59.09090909090909,29.230769230769234,29.86013986013986,13.123543123543124,42.23834498834498,66,65,55,19.090909090909093,False
Hopkins,LRT,conservation only,40.0,0.8433,71.21212121212122,76.92307692307693,-5.710955710955712,-20.932983682983682,9.534382284382273,66,65,12,31.212121212121218,False
