scheme,control,n_benign,tool,mech,n_disease,tier,cutoff,sens,spec,spec_lo,spec_hi,fp,lr,lr_lo,lr_hi,lr_ceiling,lr_required
Bergquist 2025,gnomAD AF>=1e-4,37,AM,GoF,45,Moderate,0.792,0.5111111111111111,0.918918918918919,0.7869900750149847,0.9720399336036787,3,6.303703703703707,2.0531379374936933,19.354121152032874,12.333333333333334,4.3
Bergquist 2025,gnomAD AF>=1e-4,37,AM,GoF,45,Strong,0.972,0.15555555555555556,1.0,0.9059390425448564,1.0000000000000002,0,inf,,,inf,18.7
Bergquist 2025,gnomAD AF>=1e-4,42,REVEL,LoF,163,Supporting,0.291,1.0,0.3333333333333333,0.2101228076197232,0.4844777298833308,28,1.4999999999999998,1.2111999660571433,1.857661875044873,1.5,2.08
Bergquist 2025,gnomAD AF>=1e-4,42,REVEL,LoF,163,Moderate,0.644,0.9570552147239264,0.7619047619047619,0.6147216491768113,0.8651917918898182,10,4.01963190184049,2.337781584059689,6.911441486434969,4.2,4.3
Bergquist 2025,gnomAD AF>=1e-4,42,REVEL,LoF,163,Strong,0.879,0.6993865030674846,0.9523809523809523,0.8420986468452026,0.9868427513607937,2,14.687116564417162,3.7837003777915132,57.01069625990955,21.0,18.7
Bergquist 2025,gnomAD AF>=1e-4,42,REVEL,GoF,43,Supporting,0.291,0.9767441860465116,0.3333333333333333,0.2101228076197232,0.4844777298833308,28,1.4651162790697672,1.1772300489196408,1.8234037715611922,1.5,2.08
Bergquist 2025,gnomAD AF>=1e-4,42,REVEL,GoF,43,Moderate,0.644,0.9534883720930233,0.7619047619047619,0.6147216491768113,0.8651917918898182,10,4.004651162790697,2.3220079194312397,6.906621980673131,4.2,4.3
Bergquist 2025,gnomAD AF>=1e-4,42,REVEL,GoF,43,Strong,0.879,0.5581395348837209,0.9523809523809523,0.8420986468452026,0.9868427513607937,2,11.720930232558127,2.953377244975974,46.51630798273206,21.0,18.7
Bergquist 2025,gnomAD AF>=1e-5,376,AM,LoF,202,Supporting,0.17,0.9356435643564357,0.5106382978723404,0.4602585526059911,0.5608028582557998,184,1.9119672836848902,1.7138258446834196,2.1330165519569753,2.0434782608695654,2.08
Bergquist 2025,gnomAD AF>=1e-5,376,AM,LoF,202,Moderate,0.792,0.6188118811881188,0.8590425531914894,0.8202284023047963,0.8905942142806436,53,4.390061647674202,3.344605766112595,5.762305819612439,7.09433962264151,4.3
Bergquist 2025,gnomAD AF>=1e-5,376,AM,LoF,202,Strong,0.972,0.2871287128712871,0.949468085106383,0.9224300130837649,0.9674145958268968,19,5.682126107347583,3.4842605354232448,9.266401513765972,19.789473684210527,18.7
Bergquist 2025,gnomAD AF>=1e-5,376,AM,GoF,45,Supporting,0.17,0.9555555555555556,0.5106382978723404,0.4602585526059911,0.5608028582557998,184,1.9526570048309178,1.7301855903725336,2.2037343275378256,2.0434782608695654,2.08
Bergquist 2025,gnomAD AF>=1e-5,376,AM,GoF,45,Moderate,0.792,0.5111111111111111,0.8590425531914894,0.8202284023047963,0.8905942142806436,53,3.6259958071278824,2.481236063913631,5.298909597731304,7.09433962264151,4.3
Bergquist 2025,gnomAD AF>=1e-5,376,AM,GoF,45,Strong,0.972,0.15555555555555556,0.949468085106383,0.9224300130837649,0.9674145958268968,19,3.0783625730994184,1.3700234229172563,6.916900815667005,19.789473684210527,18.7
Bergquist 2025,gnomAD AF>=1e-5,423,REVEL,LoF,163,Supporting,0.291,1.0,0.2458628841607565,0.20723593582678285,0.289064331063792,319,1.3260188087774296,1.2557933281152107,1.4001713831929186,1.3260188087774294,2.08
Bergquist 2025,gnomAD AF>=1e-5,423,REVEL,LoF,163,Moderate,0.644,0.9570552147239264,0.6619385342789598,0.6155798439153569,0.7053823116008814,143,2.8310094813162294,2.467916266052206,3.2475229380950346,2.958041958041958,4.3
Bergquist 2025,gnomAD AF>=1e-5,423,REVEL,LoF,163,Strong,0.879,0.6993865030674846,0.8676122931442081,0.8319818778591849,0.8966256430572394,56,5.282865907099037,4.057467441479539,6.87834778588206,7.553571428571429,18.7
Bergquist 2025,gnomAD AF>=1e-5,423,REVEL,GoF,43,Supporting,0.291,0.9767441860465116,0.2458628841607565,0.20723593582678285,0.289064331063792,319,1.2951811620616753,1.2060138505089333,1.3909411088865484,1.3260188087774294,2.08
Bergquist 2025,gnomAD AF>=1e-5,423,REVEL,GoF,43,Moderate,0.644,0.9534883720930233,0.6619385342789598,0.6155798439153569,0.7053823116008814,143,2.8204586111562855,2.430513227520535,3.2729658440743594,2.958041958041958,4.3
Bergquist 2025,gnomAD AF>=1e-5,423,REVEL,GoF,43,Strong,0.879,0.5581395348837209,0.8676122931442081,0.8319818778591849,0.8966256430572394,56,4.215946843853821,2.9387344139403133,6.048252508252007,7.553571428571429,18.7
v26 (as submitted),ClinVar 3-star benign (as submitted),13,AM,LoF,202,Supporting,0.564,0.7524752475247525,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,9.782178217821789,1.4855644129827967,64.41390884767728,13.0,2.08
